frame_nmr,car_id,car_bbox,license_plate_bbox,license_number
0,1.0,[75.74774932861328 17.469863891601562 1157.922119140625 885.956298828125],[440.3592529296875 562.8263549804688 742.6793823242188 645.3240356445312],MH43AJ5887

1,1.0,[75.90408103972663 17.44164933923355 1157.9190924283569 885.8751111617212],[440.36627197265625 562.834716796875 742.6763916015625 645.3241577148438],MH43AJ5887

2,1.0,[75.99263541939945 17.433425342268663 1157.8988457285586 885.8083459910524],[440.3669128417969 562.8351440429688 742.678955078125 645.323974609375],MH43AJ5887

3,1.0,[76.01563985718042 17.43399587235433 1157.8842453162956 885.7930634290781],[440.3669128417969 562.8352661132812 742.678955078125 645.3240356445312],MH43AJ5887

4,1.0,[76.02230560528346 17.434739729840032 1157.8768454382914 885.7913626360591],[440.3669128417969 562.8352661132812 742.678955078125 645.3240356445312],MH43AJ5887

5,1.0,[76.02580230300157 17.43522979847711 1157.873619957309 885.7932755788206],[440.3668518066406 562.8351440429688 742.6790161132812 645.323974609375],MH43AJ5887

6,1.0,[76.02636503215695 17.43483974258089 1157.8718870201678 885.7957962232053],[440.3668518066406 562.8351440429688 742.6790161132812 645.323974609375],MH43AJ5887

7,1.0,[76.02636028301583 17.4352825910114 1157.871484092098 885.7984091520437],[440.3668518066406 562.8351440429688 742.6790161132812 645.323974609375],MH43AJ5887

8,1.0,[76.02555170865901 17.434961393483206 1157.8714631389248 885.8005139436946],[440.3668518066406 562.8351440429688 742.6790161132812 645.323974609375],MH43AJ5887

9,1.0,[76.02445625464088 17.434350687478457 1157.871724393976 885.8022924644883],[440.3668518066406 562.8351440429688 742.6790161132812 645.323974609375],MH43AJ5887

